month,revenue,type
01-09-2016,252.24,Actual
01-10-2016,59090.48,Actual
01-12-2016,19.62,Actual
01-01-2017,138488.04,Actual
01-02-2017,291908.01,Actual
01-03-2017,449863.6,Actual
01-04-2017,417788.03,Actual
01-05-2017,592918.82,Actual
01-06-2017,511276.38,Actual
01-07-2017,592382.92,Actual
01-08-2017,674396.32,Actual
01-09-2017,727762.45,Actual
01-10-2017,779677.88,Actual
01-11-2017,1194882.8,Actual
01-12-2017,878401.48,Actual
01-01-2018,1115004.18,Actual
01-02-2018,992463.34,Actual
01-03-2018,1159652.12,Actual
01-04-2018,1160785.48,Actual
01-05-2018,1153982.15,Actual
01-06-2018,1023880.5,Actual
01-07-2018,1066540.75,Actual
01-08-2018,1022425.32,Actual
01-09-2018,4439.54,Actual
01-10-2018,589.67,Actual
30-11-2018,1044589.119,Forecast
31-12-2018,1075684.061,Forecast
31-01-2019,1106779.002,Forecast
28-02-2019,1137873.943,Forecast
31-03-2019,1168968.884,Forecast
30-04-2019,1200063.825,Forecast
